ticker_symbol,text,created_at,compound
AMZN,Reminder: Risk Happens Fast. Easy to forget that when everything looks rosey. $AMZN $NFLX $TSLA $QQQ $ZM,2020-04-14 19:51:52+00:00,-0.026
AMZN,Unicorn Bay rating for $AMZN is 2.79 out of 5. https://t.co/RAiZZokHKB,2020-04-14 19:51:01+00:00,0
AMZN,10 Stocks Leading the Rally in the S&amp;P 500 ETF https://t.co/sqEZO45bP7 $ILMN $FTNT $WRK $AMCR $NEM $CTXS $AMZN $INCY $ALXN $SRE,2020-04-14 19:48:55+00:00,0
AMZN,"RT @quake001: How about $AMZN 330% $GOOGL 320% $MSFT 80% $SPY 100% $TSLA 100% today plus over 1000% on swing, and few more names such as $S…",2020-04-14 19:47:59+00:00,0
AMZN,"RT @GoingGreenPicks: $AMZN, MIST READ ARTICLE FOR SHORTS AND LONGS: https://t.co/herAvAXx8k $GRNF $GE $BBY $CGC $NFLX $FB $GM $LUV $UAL $MT…",2020-04-14 19:47:56+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 19:46:37+00:00,0
AMZN,@RedDogT3 Just look at $NFLX and $AMZN,2020-04-14 19:41:48+00:00,0
AMZN,RT @SJosephBurns: $AMZN 52 week high 🚀 https://t.co/7eUF7wLRjY,2020-04-14 19:35:05+00:00,0
AMZN,"$AMZN getting ramped for new highs this last hour. What a spectacular week. At this pace, probably gap up tomorrow again. https://t.co/485nL7FDiV",2020-04-14 19:33:35+00:00,0
AMZN,RT @Guruleaks1: Hey $AMZN where is my package? https://t.co/7RTdESPNaP,2020-04-14 19:33:29+00:00,0
AMZN,Could Fastly Be a Millionaire-Maker Stock? @themotleyfool #stocks $FSLY $JBLU $GOOGL $AMZN $AKAM $LLNW $GOOG $SHOP $NET https://t.co/l8csAm8dMq,2020-04-14 19:31:23+00:00,0
AMZN,Do you know that #WallStreet price for $AMZN is $2415.33 https://t.co/Ng7EStjUwk,2020-04-14 19:27:02+00:00,0
AMZN,Sentiment for $AMZN out of 1423 total scores; 78 % is positive and 22 % is negative. #sentiment https://t.co/gBlbcTR8QK,2020-04-14 19:24:45+00:00,-0.026
AMZN,"RT @Stocktwits: Gap up, new all time highs. 
 
$AMZN https://t.co/2JOvOsgDGW",2020-04-14 19:21:23+00:00,0
AMZN,"RT @pr3sports23: When $AMZN first started, Jeff Bezos couldn’t raise $1M for 20% of the company.  That $1M would have netted you $240B, as…",2020-04-14 19:19:26+00:00,0
AMZN,"$IZEA can be bought by $FB $AMZN . Ya, but not now, later when it run over 3 $",2020-04-14 19:19:03+00:00,0
AMZN,We calculated 63-day Expected Return of $AMZN for you: 18.74% https://t.co/hIfdzcz3re,2020-04-14 19:18:01+00:00,0
AMZN,"RT @seanlongoria: Automation investments are likely to swell for $AMZN and others because of the #CoronavirusPandemic, experts say
New from…",2020-04-14 19:15:49+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 19:14:47+00:00,0
AMZN,"RT @pr3sports23: When $AMZN first started, Jeff Bezos couldn’t raise $1M for 20% of the company.  That $1M would have netted you $240B, as…",2020-04-14 19:12:10+00:00,0
AMZN,"RT @pr3sports23: When $AMZN first started, Jeff Bezos couldn’t raise $1M for 20% of the company.  That $1M would have netted you $240B, as…",2020-04-14 19:12:08+00:00,0
AMZN,"RT @pr3sports23: When $AMZN first started, Jeff Bezos couldn’t raise $1M for 20% of the company.  That $1M would have netted you $240B, as…",2020-04-14 19:09:25+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 19:07:24+00:00,0
AMZN,$AMZN bull flag target from 3/29/20 met https://t.co/9QKmJRJzmS,2020-04-14 19:03:01+00:00,0
AMZN,@traderstewie Did you play $AMZN/$NFLX? I missed those but hit $BABA.🇺🇸,2020-04-14 19:01:42+00:00,0.026
